gene	GSM590166	GSM590167	GSM590168	GSM590169	GSM590170	GSM590171
TGFBR1	6.80954	6.9598	6.57761	6.69416	6.90732	6.65383
MADCAM1	5.56016	5.42039	5.5013	5.32147	5.49537	5.45144
ITGA4	3.48392	3.49001	3.44958	3.3864	3.51324	3.51266
ITGB7	5.8582	5.68632	5.58178	5.47903	5.52783	5.85196
PLAU	9.69312	9.68641	9.70469	10.4321	10.4716	10.4796
SDC1	8.95465	8.97528	9.03724	9.38813	9.45653	9.50351
ITGB6	0	0	0	0	0	0
FN1	4.05542	3.86006	3.85118	3.84971	3.84971	3.95017
CCN1	0	0	0	0	0	0
VCAM1	3.90442	3.90696	3.81705	3.64824	3.96888	4.00794
VTN	0	0	0	0	0	0
EDIL3	4.14761	4.13919	3.95723	4.51478	4.51478	4.35698
FBN1	4.84094	4.54355	4.70627	4.90375	4.95291	4.74448
PLAUR	5.62987	5.48708	5.58924	7.12972	7.37451	7.25504
ITGB8	3.95344	3.85893	3.91927	3.98153	4.06132	3.81662
TP63	3.72506	3.72094	3.60025	3.48646	3.59937	3.62493
WWP1	7.99125	8.14456	8.17701	8.55363	8.15051	8.14084
GPX2	5.40081	5.08933	5.13895	5.20595	5.22152	5.1746
CEBPD	6.27734	6.37969	6.3851	5.9546	5.76168	5.8318
POU2F2	5.81237	5.72771	5.56435	5.47838	5.78281	5.84475
STXBP4	3.72438	3.86724	3.55209	3.64534	3.51216	3.46579
ATM	3.84861	3.84609	3.76634	3.76887	3.89645	3.865
FOSL2	5.8785	5.80575	5.7435	6.3932	6.41906	6.15152
RRAD	4.02951	3.93078	4.18436	4.09899	4.08876	4.22801
VDR	5.82021	5.86544	5.92487	5.78031	6.10918	5.85733
GSK3B	6.54312	6.12876	6.38835	7.10733	6.94936	6.8814
PPP2R5A	4.73528	4.58495	4.6449	4.55434	4.74401	4.69028
MDM2	4.64203	4.67324	4.59444	4.8929	4.72415	4.72645
RACK1	0	0	0	0	0	0
NRG1	5.44768	5.34907	5.3905	5.22748	5.4487	5.47248
PERP	3.56989	3.48615	3.56103	3.57653	3.65548	3.53962
CDKN2A	3.88515	3.71962	3.62627	3.88515	3.72768	3.99041
SEC14L2	5.05439	5.39393	5.23265	5.42238	5.229	5.33545
IGFBP3	5.49542	5.28883	5.50086	8.13144	7.82592	8.16001
CCNB2	10.3334	10.3901	10.2972	10.2969	10.3175	10.2522
TCF7L1	7.81032	7.74606	7.91575	7.77931	7.68943	7.81646
MRE11	0	0	0	0	0	0
ITGA3	7.98114	7.71691	8.27776	9.14941	8.93305	9.11243
TBXT	0	0	0	0	0	0
ITCH	7.13701	7.3709	7.17624	8.10778	7.9064	7.80948
HES1	4.92595	4.65583	4.6238	4.45252	4.77365	4.88168
BDKRB2	5.31451	5.34563	5.33688	4.86519	5.19039	4.9148
FASN	10.1849	10.0953	10.6716	10.8029	10.4479	10.6547
YAP1	9.2005	9.19366	9.22499	9.3292	9.19161	9.03558
SFN	9.2385	9.20509	9.22782	9.23022	9.24888	9.26448
ADRM1	10.5185	10.5353	10.6213	10.7598	10.7041	10.8292
DLX6	4.60697	4.43706	4.57202	4.4026	4.45626	4.49236
TOP2A	10.6735	10.495	10.3564	10.582	10.1456	10.127
HELLS	7.05216	6.68802	6.50994	6.73083	6.77908	6.65454
BRCA2	5.4555	5.52424	5.58368	5.69638	5.20593	5.40599
RUNX1	0	0	0	0	0	0
KRT14	4.37241	4.14745	4.13302	4.16614	4.21737	4.20294
AXL	6.26297	6.34306	6.35245	6.53018	6.51074	6.44019
NOTCH1	7.168	7.04714	7.38722	7.65013	7.41299	7.61628
IL1A	4.23583	4.04801	4.10757	4.39248	3.89317	3.87763
KRT5	5.5806	5.57971	5.63349	5.33985	5.52682	5.60893
DLX5	3.96537	4.31559	4.2607	4.20373	4.29498	4.06632
COL5A1	5.62227	5.39651	5.66931	7.22053	6.57633	6.63032
FBXW7	6.53217	6.37101	6.37976	6.41377	6.24765	6.51534
ADA	9.28157	9.23674	9.17498	10.606	10.6523	10.711
RAB38	4.2994	4.32959	4.12109	3.93368	3.91609	4.0985
HBP1	4.78222	4.81447	4.66107	4.06438	4.36591	3.99677
ITGA3	7.98114	7.71691	8.27776	9.14941	8.93305	9.11243
LAMC3	7.14974	6.96698	7.36123	7.69014	7.60932	7.82825
LAMA3	3.7897	3.96002	3.73926	3.85554	3.77445	3.90942
LAMC2	5.85325	5.7763	6.02469	7.49049	7.37464	7.44327
COL4A4	3.8818	3.80922	3.59214	3.6636	3.79094	3.87778
NID2	3.70813	3.66797	3.63807	3.56692	3.74573	3.85027
LAMB1	8.79447	8.79462	9.21284	8.84958	8.15664	8.24721
ITGA6	9.76363	9.71009	9.91506	9.60625	9.56968	9.62969
LAMA1	4.15324	4.10066	4.32047	4.16814	4.15324	4.05512
LAMA4	4.08645	3.8649	3.77527	4.02686	4.12243	4.14473
COL7A1	6.17494	6.17556	5.92825	8.57899	8.95178	8.90698
NID1	5.49604	5.40283	5.39419	5.46323	5.63161	5.49509
LAMA5	9.32834	9.24249	9.75837	8.6811	8.36201	8.58893
ITGB4	5.4749	5.00296	5.83604	5.05724	5.02496	5.14923
COL4A2	4.09098	4.14098	3.96745	4.45458	4.41612	4.42054
ITGA7	5.05957	4.97359	5.09802	4.71354	4.6145	4.77562
LAMC1	8.76023	8.75726	8.95583	9.25987	9.03094	9.07139
ITGAV	12.1635	12.1505	12.307	12.885	12.8016	12.9174
HSPG2	5.08326	4.95849	5.18827	5.16026	5.22847	5.29298
ITGB1	12.2077	12.2211	12.2205	12.7092	12.6809	12.6121
ITGA2	8.13692	7.79729	7.67494	9.19409	9.25459	9.4679
COL4A3	4.23745	4.36413	4.21076	4.44619	4.30733	4.05393
LAMB2	8.27807	8.18199	8.55168	8.10286	7.7695	7.93192
COL18A1	10.4786	10.3152	10.8522	10.6677	10.3163	10.4294
COL4A1	4.78726	4.70931	4.46749	4.97645	5.2163	5.3474
COL4A5	7.11619	7.0717	7.35583	6.66449	5.9461	6.28743
LAMA2	4.44341	4.41616	4.40134	4.50264	4.58221	4.44769
LAMB3	4.33123	4.61784	4.4134	5.02153	4.97481	4.72307
COL4A6	3.632	3.75429	3.71537	3.46288	3.61172	3.62976
ITGA1	3.91237	3.52233	3.44939	3.41042	3.58748	3.52192
FOXM1	7.66588	7.73926	7.82561	7.9698	7.98917	8.10474
GAS1	4.02196	3.91536	3.85118	3.83315	3.98661	4.19139
CENPF	3.91403	3.56776	3.92478	3.82413	3.79236	3.74271
SP1	7.51538	7.43068	7.33088	7.08305	7.02039	6.95581
PLK1	7.35467	7.27939	7.31437	7.88992	7.828	7.80879
MYC	9.83709	9.92972	9.90614	11.3274	11.2039	11.2408
NFATC3	6.77682	6.84665	6.88032	6.7335	6.75337	6.88561
BRCA2	5.4555	5.52424	5.58368	5.69638	5.20593	5.40599
CDK1	10.5409	10.6266	10.5687	10.3805	10.1999	10.2245
CCNE1	9.1943	9.13794	9.28349	9.69352	9.64747	9.80784
EP300	7.57893	7.61006	7.97297	7.69409	7.31752	7.41497
CCND1	7.96565	7.65779	7.90056	8.80466	8.32479	8.44113
LAMA4	4.08645	3.8649	3.77527	4.02686	4.12243	4.14473
CENPA	8.60456	8.55669	8.61176	8.68636	8.93443	8.83072
CREBBP	10.4796	10.6364	10.6801	10.5468	10.4156	10.5354
CCNB2	10.3334	10.3901	10.2972	10.2969	10.3175	10.2522
SKP2	7.88608	7.97036	7.82872	7.84868	7.78419	7.71857
CDKN2A	3.88515	3.71962	3.62627	3.88515	3.72768	3.99041
BIRC5	6.91599	7.00318	6.74026	7.22668	6.91191	6.92794
XRCC1	6.6065	6.56314	6.57826	6.52362	6.39761	6.49179
CDC25B	11.6627	11.5393	11.8738	11.1142	11.0342	11.1199
CKS1B	12.4873	12.5518	12.5045	12.5545	12.6482	12.6792
AURKB	7.75765	7.81785	7.73058	8.12959	8.18107	8.08129
HIST1H2BA	3.56197	3.51156	3.43861	3.31942	3.50548	3.36112
CCNA2	7.69733	7.74385	7.59523	8.20254	8.08526	8.12603
CENPB	8.16264	8.04021	8.29168	8.66155	8.94565	8.86392
CDK4	11.9557	11.981	11.9952	12.2	12.194	12.1874
MMP2	3.77274	3.68142	3.58009	3.64065	3.86311	3.80425
FOS	4.98031	5.2471	5.14697	4.55971	4.65543	4.57695
RB1	9.88771	9.89178	10.0137	9.74365	9.57971	9.61403
CHEK2	8.87512	8.9343	8.73963	8.70392	8.76195	8.63666
CCNB1	10.9795	11.0029	10.9749	10.9701	11.0222	11.0432
ESR1	3.59982	3.64065	3.66443	3.85195	3.62192	3.58961
MAP2K1	10.3316	10.3504	10.3727	10.4927	10.3861	10.4182
ONECUT1	4.7146	4.41408	4.66897	4.60114	4.61928	4.79633
NEK2	8.87232	8.80696	8.80523	8.76672	8.68463	8.75325
CDK2	8.72671	8.76161	8.63427	8.70422	9.03593	9.01376
GSK3A	7.75082	7.78749	7.68552	7.79871	7.8499	7.77653
ETV5	10.7313	10.5798	10.6949	10.9881	10.6784	10.8172
TGFA	4.69547	4.77516	4.56352	4.63131	4.67589	4.70194
CTNNB1	5.51967	5.80665	5.70265	5.5937	5.55605	5.45087
CDH1	4.27451	4.14837	4.42808	3.98925	3.74402	4.01268
AQP5	5.41349	5.21636	4.94956	4.95599	5.15855	5.3568
EGF	3.63223	3.50729	3.4617	3.44253	3.73078	3.61589
ENAH	4.59657	4.55117	4.5572	6.43396	6.2957	6.47471
AFDN	5.00783	4.86769	5.13592	5.46121	5.43916	5.51298
CTNNA1	9.54195	9.74563	9.53629	9.84596	9.74634	9.63965
VCL	4.49438	4.53726	4.34767	4.29974	4.53587	4.63055
DIAPH1	3.41903	3.46608	3.27005	3.33609	3.39587	3.67035
NCKAP1	11.6832	11.7236	11.9103	12.1964	11.7993	11.8537
VASP	8.00442	7.92618	8.09476	8.56193	8.51873	8.53462
NCK1	9.42194	9.42524	9.30861	9.51327	9.46228	9.46413
EXOC3	8.8928	8.87298	8.85937	8.78859	8.78938	8.81224
ZYX	7.92074	7.60744	8.08418	9.85162	9.54586	9.77966
PLEKHA7	5.09294	4.86255	5.22555	4.7138	4.5707	4.85158
IGF1R	9.00932	8.8422	8.92677	9.39013	8.99886	9.12638
MET	10.2693	10.3031	10.3705	10.9063	10.4503	10.5943
STX4	9.7037	9.71987	9.58894	10.166	10.2067	10.1517
HGF	4.88685	4.5807	4.50233	3.80749	3.98549	3.85873
ROCK1	3.50429	3.50189	3.58712	3.58238	3.49842	3.51686
EXOC4	9.97667	9.94124	9.93583	9.8408	9.81642	9.74662
LIMA1	8.83355	8.74908	8.73337	8.39228	8.50151	8.42242
MGAT3	5.17712	5.35781	5.1599	5.13093	5.31922	4.97678
NECTIN2	8.11081	8.19213	8.22558	8.07258	8.115	8.21419
RHOA	11.7988	11.8546	11.7564	12.1076	12.1332	12.0625
ABI1	3.16302	3.06832	3.31449	3.25632	3.13863	3.21301
CTNND1	0	0	0	0	0	0
PIP5K1C	7.64849	7.60197	7.82972	7.78301	7.52681	7.62636
CAMSAP3	4.45575	4.5071	4.52949	4.5633	4.40281	4.47598
MYL2	3.83752	3.76591	3.61549	3.77991	3.97494	4.04784
EGFR	6.22884	5.90444	6.2613	6.09392	6.43221	6.35114
ACTN1	11.502	11.4727	11.6131	12.4605	12.1867	12.2775
KIFC3	4.2154	4.20656	4.18945	4.24937	4.41879	4.43947
CYFIP2	5.21912	5.24027	5.88106	4.90156	4.92413	4.73574
LPP	4.64143	4.64389	4.35317	4.15635	4.55203	4.64389
MYO6	8.47177	8.00425	8.1358	8.65681	8.03776	8.16114
GIT1	8.47522	8.44042	8.21836	8.15494	8.37869	8.35002
EPHA2	10.0057	9.96206	10.2299	10.0646	9.88862	9.99782
EFNA1	7.8999	7.88363	7.80501	7.82662	7.9049	7.87317
ARF6	10.1623	10.0932	10.2167	9.78245	9.8326	9.82481
AQP3	5.42088	5.35999	5.34086	5.22152	5.73451	5.47606
